id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Luis Alberto Suárez Díaz,1,2,2,1,0,1,0,0,4,0,1,0,0,1,0,0,1,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Sergio Busquets i Burgos,1,1,8,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,3,0
Arturo Erasmo Vidal Pardo,1,1,6,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0
Nélson Cabral Semedo,0,2,8,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,5,3,0,1,0,0,1,0,1,0,0,0,0,3,0
Lionel Andrés Messi Cuccittini,1,2,6,0,0,2,0,1,1,1,1,0,0,0,0,0,0,1,0,0,2,3,0,0,1,1,1,0,0,0,0,0,1,0
Arthur Henrique Ramos de Oliveira Melo,4,0,8,0,3,0,0,0,0,0,7,0,0,0,0,1,0,2,0,2,0,1,2,0,0,0,2,0,2,0,0,0,1,0
Ousmane Dembélé,1,2,2,4,0,0,0,1,3,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
Gerard Piqué Bernabéu,0,4,6,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,7,2,0,0,0,1,0,1,0,0,0,0,2,0
Jordi Alba Ramos,3,0,4,0,2,0,2,0,0,3,2,0,0,0,0,0,0,2,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Clément Lenglet,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Marc-André ter Stegen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
