id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Bastian Schweinsteiger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,16,0
Diego Armando Valentin Contento,0,3,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,3,3,1,0,4,0,0,0,0,1,0,3,0,0,0,3,0
Jérôme Boateng,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,3,2,1,1,6,0,0,2,2,0,0,1,0,0,0,5,0
Anatoliy Tymoshchuk,0,2,0,0,0,0,2,0,0,3,3,0,0,0,0,1,0,1,2,1,0,6,2,0,0,0,0,0,0,0,0,0,6,0
Toni Kroos,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,4,1,3,0,0,1,1,0,0,0,0,0,12,0
Franck Bilal Ribéry,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,5,2,5,0,0,0,1,0,3,0,0,0,0,9,0
Philipp Lahm,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,7,0,6,2,0,0,0,2,0,0,0,0,0,11,0
Arjen Robben,0,0,4,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,7,1,0,0,0,1,0,4,0,0,0,0,9,0
Manuel Neuer,0,2,1,0,0,0,1,0,2,2,1,0,0,0,0,1,0,0,6,0,0,6,0,0,2,0,0,0,0,0,0,0,1,0
Mario Gómez García,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0
Thomas Müller/Daniel Van Buyten,0,1,4,0,0,1,0,2,2,0,1,0,0,0,1,0,1,0,1,1,5,2,0,0,2,1,2,3,0,0,0,0,6,0
