id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Juan Manuel Mata García,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.005263157894736842,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.015789473684210527,0.0,0.015789473684210527,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0
Didier Yves Drogba Tébily,0.005263157894736842,0.010526315789473684,0.0,0.0,0.005263157894736842,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frank Lampard,0.005263157894736842,0.021052631578947368,0.0,0.0,0.005263157894736842,0.0,0.021052631578947368,0.0,0.005263157894736842,0.015789473684210527,0.0,0.0,0.0,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.04736842105263158,0.005263157894736842,0.015789473684210527,0.0,0.0,0.015789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0
Gary Cahill,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.005263157894736842,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0
Petr Čech,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.005263157894736842,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Luiz Moreira Marinho,0.005263157894736842,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.015789473684210527,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021052631578947368,0.0,0.015789473684210527,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0
Ashley Cole,0.010526315789473684,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.015789473684210527,0.010526315789473684,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.010526315789473684,0.0,0.0,0.015789473684210527,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Michael Nchekwube Obinna,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.021052631578947368,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0
Salomon Armand Magloire Kalou,0.005263157894736842,0.015789473684210527,0.0,0.0,0.0,0.005263157894736842,0.0,0.015789473684210527,0.005263157894736842,0.0,0.0,0.0,0.005263157894736842,0.005263157894736842,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.005263157894736842,0.0,0.0,0.0,0.010526315789473684,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Bosingwa da Silva,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.010526315789473684,0.0,0.0,0.005263157894736842,0.0,0.0,0.010526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Bertrand/Florent Malouda,0.0,0.010526315789473684,0.005263157894736842,0.0,0.021052631578947368,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
