id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Ellen White,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hayley Ladd,0.004273504273504274,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.02564102564102564,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.0,0.01282051282051282,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.0
Aoife Mannion,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.017094017094017096,0.03418803418803419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.0
Kerys Harrop,0.008547008547008548,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.0,0.0,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.017094017094017096,0.004273504273504274,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.0,0.004273504273504274,0.0,0.004273504273504274,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
Meaghan Sargeant,0.0,0.004273504273504274,0.004273504273504274,0.0,0.0,0.0,0.0,0.004273504273504274,0.029914529914529916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.004273504273504274,0.017094017094017096,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.021367521367521368,0.0
Harriet Scott,0.01282051282051282,0.0,0.0,0.004273504273504274,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.029914529914529916,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.004273504273504274,0.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282,0.0
Hannah Hampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.029914529914529916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.0
Charlie Wellings,0.0,0.01282051282051282,0.008547008547008548,0.0,0.004273504273504274,0.0,0.0,0.029914529914529916,0.004273504273504274,0.0,0.0,0.0,0.0,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.004273504273504274,0.0,0.0,0.0,0.004273504273504274,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
Emma Follis/Claudia Walker,0.0,0.008547008547008548,0.01282051282051282,0.0,0.0,0.0,0.0,0.021367521367521368,0.004273504273504274,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.008547008547008548,0.004273504273504274,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
Marisa Ewers/Lucy Staniforth,0.017094017094017096,0.004273504273504274,0.0,0.008547008547008548,0.0,0.0,0.008547008547008548,0.004273504273504274,0.0,0.02564102564102564,0.0,0.0,0.008547008547008548,0.0,0.008547008547008548,0.0,0.004273504273504274,0.008547008547008548,0.0,0.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.004273504273504274,0.0,0.008547008547008548,0.0,0.0,0.0,0.004273504273504274,0.0
Chloe Arthur/Connie Scofield,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.0,0.004273504273504274,0.0,0.004273504273504274,0.01282051282051282,0.004273504273504274,0.008547008547008548,0.0,0.0,0.004273504273504274,0.004273504273504274,0.0,0.004273504273504274,0.0,0.0,0.004273504273504274,0.01282051282051282,0.01282051282051282,0.004273504273504274,0.0,0.004273504273504274,0.0,0.0,0.004273504273504274,0.0,0.0,0.0,0.0,0.0,0.0
