id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Brooke Hendrix,1,1,2,0,0,3,2,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Anne Moorhouse,1,1,4,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0
Gilly Louise Scarlett Flaherty,1,1,4,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0
So-Hyun Cho,3,2,4,0,1,0,2,5,1,1,5,0,0,0,0,2,0,1,0,1,2,1,1,1,0,1,0,0,0,1,0,0,0,0
Leanne Kiernan,1,2,0,2,0,3,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Claire Lauren Rafferty,2,1,2,0,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
Alisha Lehmann,1,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Adriana Leon,0,1,2,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Kate Longhurst,3,2,0,1,3,2,1,3,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Erin Simon,1,0,6,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,1,1,0,0
Brianna Visalli/Rebecca Leigh Spencer,1,3,0,2,0,4,1,3,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
