id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Kirsty Barton,2,1,2,0,1,0,2,2,0,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Kayleigh Green,2,2,6,1,0,0,1,4,0,0,3,0,0,0,0,0,0,1,0,2,4,1,2,0,0,2,2,0,1,0,0,1,0,0
Danielle Buet,2,2,4,0,1,1,0,4,1,1,2,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,1,1,0,0,1,0,0,0
Léa Le Garrec,1,2,0,2,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Emily Simpkins,0,2,2,2,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Megan Walsh,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aileen Whelan,2,2,2,1,1,3,0,3,1,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Victoria Williams,0,2,2,1,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Amanda Nildén,1,1,2,0,0,2,2,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Maya Le Tissier,2,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Danique Kerkdijk,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
