id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Andrea Pirlo,2,3,0,0,1,0,4,1,1,2,0,0,0,1,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
Marcos Evangelista de Moraes,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
Ivan Gennaro Gattuso,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Paolo Maldini,2,2,0,0,1,0,2,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Ricardo Izecson dos Santos Leite,1,3,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,5,0,1,1,1,0,0,0,0,0,0,0,0,0
Jaap Stam,1,1,0,0,3,2,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alessandro Nesta,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Andriy Shevchenko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson de Jesus da Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernán Jorge Crespo/Jon Dahl Tomasson,2,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Clarence Seedorf/Claudio Santos,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
