id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Lionel Andrés Messi Cuccittini,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,25,0
Frenkie de Jong,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,0,0,0,0,0,25,0
Arthur Henrique Ramos de Oliveira Melo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,30,0
Gerard Piqué Bernabéu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,26,0
Arturo Erasmo Vidal Pardo,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,3,0,0,0,0,25,0
Sergio Busquets i Burgos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,30,0
Nélson Cabral Semedo,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,0,0,15,0
Antoine Griezmann,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,3,0,0,0,0,3,0,0,0,0,23,0
Samuel Yves Umtiti,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,16,0
Jordi Alba Ramos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,27,0
Marc-André ter Stegen,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,2,0,6,2,0,0,0,0,0,6,0,0,0,4,0
