id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Thibaut Courtois,0,5,1,0,2,0,3,0,3,1,1,0,0,1,0,2,0,0,9,0,0,1,0,0,4,1,2,0,6,0,0,0,0,0
Raphaël Varane,0,2,4,1,0,0,0,3,6,0,0,0,0,1,2,1,3,2,3,0,0,4,1,1,3,1,0,3,0,0,0,0,0,0
Daniel Carvajal Ramos,0,2,1,1,0,0,0,1,0,1,3,0,0,0,0,1,0,3,2,1,2,4,2,0,1,1,1,3,0,0,0,0,10,0
Carlos Henrique Casimiro,0,2,2,0,0,0,0,1,0,0,3,0,0,1,1,1,0,4,0,0,3,0,2,0,2,2,1,2,0,0,0,0,11,0
Vinícius José Paixão de Oliveira Júnior,0,0,4,0,0,4,0,0,3,1,0,0,0,0,3,0,3,0,0,3,4,3,0,0,0,2,0,1,0,0,0,0,6,0
Marcelo Vieira da Silva Júnior,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,4,4,3,0,1,1,2,3,0,0,0,0,7,0
Sergio Ramos García,0,2,2,0,0,1,0,0,2,1,1,0,0,2,0,0,1,1,3,1,2,5,1,1,1,3,1,0,1,0,0,0,2,0
Toni Kroos,0,2,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,2,0,0,2,0,2,1,1,1,5,1,0,0,0,0,15,0
Francisco Román Alarcón Suárez/Luka Modrić,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,4,0,0,0,0,0,0,0,0,0,17,0
Federico Santiago Valverde Dipetta/Lucas Vázquez Iglesias,0,2,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,2,2,4,0,5,0,0,0,0,1,0,1,0,0,0,10,0
Karim Benzema/Mariano Díaz Mejía,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,3,5,2,0,0,1,0,3,0,0,0,0,15,0
