id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Karim Benzema,0.01694915254237288,0.005649717514124294,0.0,0.011299435028248588,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.011299435028248588,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.011299435028248588,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.0,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Román Alarcón Suárez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022598870056497175,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0
Carlos Henrique Casimiro,0.011299435028248588,0.0,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0,0.011299435028248588,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389830508474576,0.01694915254237288,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toni Kroos,0.011299435028248588,0.01694915254237288,0.005649717514124294,0.005649717514124294,0.0,0.0,0.022598870056497175,0.005649717514124294,0.005649717514124294,0.02824858757062147,0.0,0.0,0.011299435028248588,0.005649717514124294,0.0,0.0,0.0,0.005649717514124294,0.0,0.03954802259887006,0.0,0.005649717514124294,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0
Sergio Ramos García,0.01694915254237288,0.0,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0,0.005649717514124294,0.011299435028248588,0.0,0.0,0.0,0.0,0.011299435028248588,0.0,0.0,0.01694915254237288,0.005649717514124294,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcelo Vieira da Silva Júnior,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.0,0.0,0.005649717514124294,0.005649717514124294,0.0,0.01694915254237288,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.005649717514124294,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0
Raphaël Varane,0.0,0.011299435028248588,0.011299435028248588,0.0,0.011299435028248588,0.0,0.0,0.022598870056497175,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.011299435028248588,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Carvajal Ramos,0.0,0.005649717514124294,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.011299435028248588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vinícius José Paixão de Oliveira Júnior,0.0,0.011299435028248588,0.011299435028248588,0.0,0.011299435028248588,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.011299435028248588,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Santiago Valverde Dipetta,0.0,0.005649717514124294,0.011299435028248588,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thibaut Courtois,0.005649717514124294,0.005649717514124294,0.005649717514124294,0.0,0.0,0.011299435028248588,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
