id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Héctor Miguel Herrera López,0.016042780748663103,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.06951871657754011,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.016042780748663103,0.0,0.0,0.0,0.0,0.03208556149732621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.0
Thomas Teye Partey,0.016042780748663103,0.0,0.0,0.0,0.0,0.0053475935828877,0.0,0.0,0.0106951871657754,0.0374331550802139,0.0,0.0,0.0,0.0,0.016042780748663103,0.0,0.016042780748663103,0.0,0.0,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016042780748663103,0.0
Saúl Ñíguez Esclapez,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0,0.0,0.0213903743315508,0.0106951871657754,0.0053475935828877,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0053475935828877,0.0,0.0053475935828877,0.0,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0
Jorge Resurrección Merodio,0.0,0.0053475935828877,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.03208556149732621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106951871657754,0.0
Álvaro Borja Morata Martín,0.0,0.026737967914438502,0.0106951871657754,0.0,0.0053475935828877,0.0,0.0,0.03208556149732621,0.0,0.0,0.0,0.0,0.0,0.0213903743315508,0.0,0.0213903743315508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe Augusto de Almeida Monteiro,0.0,0.0106951871657754,0.016042780748663103,0.0,0.0106951871657754,0.0,0.0,0.0053475935828877,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016042780748663103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jan Oblak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Hermoso Canseco,0.016042780748663103,0.0,0.0,0.016042780748663103,0.0,0.0106951871657754,0.0,0.0,0.026737967914438502,0.0053475935828877,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053475935828877,0.0
Kieran Trippier,0.0106951871657754,0.0106951871657754,0.0106951871657754,0.0,0.0,0.0053475935828877,0.0106951871657754,0.0106951871657754,0.0106951871657754,0.0,0.0,0.0,0.0106951871657754,0.0,0.0053475935828877,0.0053475935828877,0.0053475935828877,0.0,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Félix Sequeira/Víctor Machín Pérez,0.0,0.0053475935828877,0.0106951871657754,0.0,0.0,0.0,0.0,0.03208556149732621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Martín Correa/Thomas Lemar,0.0106951871657754,0.0106951871657754,0.0,0.0053475935828877,0.0053475935828877,0.0,0.0106951871657754,0.016042780748663103,0.0106951871657754,0.0,0.0,0.0,0.0106951871657754,0.0053475935828877,0.0,0.0,0.0053475935828877,0.0,0.0,0.0,0.0106951871657754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
