id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Ramon Olamilekan Azeez,0,1,5,2,0,5,0,2,4,0,0,0,0,0,2,0,5,0,1,1,3,1,0,1,2,1,1,0,0,0,0,0,0,0
Álvaro Vadillo Cifuentes,0,2,1,0,0,2,0,0,0,3,4,0,0,0,0,1,0,1,3,2,1,5,0,1,1,2,0,0,0,0,0,0,1,0
Carlos Fernández Luna,0,1,2,2,0,1,0,1,3,1,0,0,0,1,0,0,1,1,1,3,3,4,1,0,0,2,1,1,0,0,0,0,0,0
Dimitri Foulquier,0,3,1,1,0,0,2,1,2,2,1,0,0,0,0,1,0,1,1,1,0,2,1,2,0,0,0,2,2,0,0,0,0,0
Germán Sánchez Barahona,0,2,2,1,1,0,3,1,3,2,0,0,0,1,0,0,0,1,1,0,0,2,0,1,1,1,1,1,0,0,0,0,1,0
Rui Tiago Dantas da Silva,0,2,1,0,1,0,2,1,0,0,2,0,0,0,0,0,0,4,1,3,1,3,4,1,0,0,2,2,0,0,0,0,2,0
Víctor David Díaz Miguel,0,4,2,2,4,0,5,3,1,2,4,0,0,0,0,0,1,1,2,1,2,0,0,2,3,1,1,0,2,0,0,0,1,0
Domingos Sousa Coutinho Meneses Duarte,0,2,1,0,1,0,1,0,2,5,3,0,0,1,0,0,0,2,1,1,1,2,3,0,1,1,2,0,0,0,0,0,1,0
Darwin Daniel Machís Marcano,0,1,5,1,0,4,0,2,3,2,0,0,0,1,2,0,1,2,0,1,4,1,0,1,1,0,0,1,0,0,0,0,1,0
Maxime Gonalons,0,2,1,2,0,0,0,1,0,1,4,0,0,0,0,1,0,2,2,2,1,2,3,0,1,2,2,1,0,0,0,0,2,0
Yan Brice Eteki,0,2,1,3,0,2,1,2,1,1,1,0,0,0,0,1,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
