id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Sergi Roberto Carnicer,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.004672897196261682,0.014018691588785047,0.0,0.009345794392523364,0.004672897196261682,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.03271028037383177,0.0
Gerard Piqué Bernabéu,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.004672897196261682,0.014018691588785047,0.014018691588785047,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.028037383177570093,0.0,0.009345794392523364,0.004672897196261682,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0
Ivan Rakitić,0.004672897196261682,0.009345794392523364,0.0,0.0,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.018691588785046728,0.0,0.018691588785046728,0.004672897196261682,0.0,0.009345794392523364,0.004672897196261682,0.004672897196261682,0.0,0.0,0.0,0.0,0.028037383177570093,0.0
Clément Lenglet,0.004672897196261682,0.004672897196261682,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.014018691588785047,0.014018691588785047,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.004672897196261682,0.004672897196261682,0.018691588785046728,0.02336448598130841,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0
Jordi Alba Ramos,0.014018691588785047,0.004672897196261682,0.0,0.014018691588785047,0.004672897196261682,0.0,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.018691588785046728,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.004672897196261682,0.009345794392523364,0.0,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0
Luis Alberto Suárez Díaz,0.0,0.004672897196261682,0.009345794392523364,0.0,0.004672897196261682,0.0,0.0,0.014018691588785047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antoine Griezmann,0.004672897196261682,0.009345794392523364,0.009345794392523364,0.0,0.0,0.0,0.0,0.014018691588785047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.009345794392523364,0.004672897196261682,0.009345794392523364,0.009345794392523364,0.0,0.004672897196261682,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0
Sergio Busquets i Burgos,0.0,0.004672897196261682,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.014018691588785047,0.004672897196261682,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.02336448598130841,0.0
Lionel Andrés Messi Cuccittini,0.0,0.004672897196261682,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.018691588785046728,0.018691588785046728,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.028037383177570093,0.0
Marc-André ter Stegen,0.009345794392523364,0.0,0.0,0.0,0.0,0.009345794392523364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.02336448598130841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nélson Cabral Semedo/Anssumane Fati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0,0.028037383177570093,0.004672897196261682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523364,0.0
