id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Raúl de Tomás Gómez,1,2,4,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,0,0,1,0
David López Silva,2,3,2,1,1,2,2,3,2,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Pol Lozano Vizuete,3,1,2,1,0,0,2,3,0,0,2,0,0,0,0,1,0,1,3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0
Víctor Gómez Perea,2,0,6,0,1,0,3,0,0,2,4,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0
Adrián Embarba Blázquez,0,3,2,1,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Leandro Daniel Cabrera Sasía,2,2,2,1,1,2,0,3,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Dídac Vilá Rosselló,0,1,8,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,2,0,0,0,0,1,0
Fernando Calero Villa,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Diego López Rodríguez,2,1,0,1,1,0,4,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Marc Roca Junqué,1,2,4,1,0,2,0,2,1,0,2,0,0,0,1,0,0,0,1,2,1,1,0,0,0,1,0,1,0,0,0,0,1,0
Bernardo José Espinosa Zúñiga,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
