id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Rubén Salvador Pérez Del Mármol,1,3,8,1,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,2,9,0,2,0,0,0,0,0,0,3,2,3,1,0
Roberto José Rosales Altuve,0,1,8,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,2,0,0,1,0,0,0,1,0,3,1,0
Unai Bustinza Martínez,2,0,4,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,3,0,3,0,0,0,0,1,0,0,0,1,0,1,0
Iván Cuéllar Sacristán,2,2,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jonathan Cristian Silva,1,1,6,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,0,2,2,0,0
Youssef En-Nesyri,1,3,4,0,0,1,0,2,1,0,1,0,0,0,2,0,0,0,2,3,3,0,0,0,1,0,0,0,0,3,1,1,0,0
Martin Braithwaite Christensen,0,1,4,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0
Dimitrios Siovas,2,0,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
Óscar Rodríguez Arnaiz/Javier Eraso Goñi,1,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
Kenneth Josiah Omeruo/Rodrigo Tarín Higón,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roque Mesa Quevedo/Guido Marcelo Carrillo,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
