id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Khalid Boutaïb,0.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.0,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mbark Boussoufa,0.014285714285714285,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.007142857142857143,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0
Manuel Marouan da Costa Trinidade,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.0,0.007142857142857143,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hakim Ziyech,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0
Achraf Hakimi Mouh,0.014285714285714285,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.014285714285714285,0.007142857142857143,0.02142857142857143,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0
Younès Belhanda,0.0,0.02142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.02857142857142857,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.03571428571428571,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medhi Amine El Mouttaqi Benatia,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin Amrabat,0.0,0.007142857142857143,0.007142857142857143,0.0,0.007142857142857143,0.0,0.0,0.02142857142857143,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nabil Dirar,0.014285714285714285,0.0,0.0,0.007142857142857143,0.0,0.014285714285714285,0.0,0.0,0.007142857142857143,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.007142857142857143,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Munir Mohand Mohamedi,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karim El Ahmadi Al Aroos,0.007142857142857143,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.02142857142857143,0.0,0.007142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
