id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Kléper Laveran Lima Ferreira,0,5,1,0,3,0,0,3,0,0,4,0,0,0,0,3,0,4,0,0,0,0,2,0,2,0,2,0,4,0,0,0,4,0
Cristiano Ronaldo dos Santos Aveiro,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,1,2,2,4,0,0,2,0,3,0,0,0,0,3,0
João Mário Naval da Costa Eduardo,0,0,3,2,0,1,0,0,1,1,0,0,0,0,1,0,2,0,0,2,5,7,2,0,0,0,0,2,0,0,0,0,5,0
Gonçalo Manuel Ganchinho Guedes,0,2,3,3,0,1,0,1,5,0,1,0,0,0,1,0,1,0,5,0,1,4,0,0,5,0,1,2,1,0,0,0,0,0
Bernardo Mota Veiga de Carvalho e Silva,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,2,0,8,3,0,0,0,0,0,0,0,0,0,6,0
João Filipe Iria Santos Moutinho,0,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,10,4,0,0,0,2,0,0,0,0,0,8,0
Cédric Ricardo Alves Soares,0,2,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,3,2,1,0,8,4,0,0,0,1,0,0,0,0,0,6,0
Raphaël Adelino José Guerreiro,0,2,1,0,0,0,0,0,2,0,4,0,0,2,0,0,0,1,2,1,0,6,3,0,0,1,2,2,1,0,0,0,6,0
William Silva de Carvalho,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,2,3,5,0,1,3,0,1,0,0,0,0,12,0
José Miguel da Rocha Fonte,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,9,4,0,0,2,0,1,0,0,0,0,9,0
Rui Pedro dos Santos Patrício,0,1,1,2,0,1,0,0,2,3,0,0,0,1,0,0,0,1,3,1,0,9,2,0,0,0,0,1,0,0,0,0,1,0
