id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Sergio Leonel Agüero del Castillo,0,0,3,0,0,1,0,0,9,2,0,0,0,0,1,0,2,0,0,4,4,6,0,0,0,0,0,1,0,0,0,0,2,0
Lionel Andrés Messi Cuccittini,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,4,3,6,3,0,0,2,0,1,0,0,0,0,8,0
Maximiliano Eduardo Meza,0,2,2,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,2,2,2,1,2,1,3,1,2,1,1,0,0,0,6,0
Javier Alejandro Mascherano,0,2,1,0,0,0,0,0,1,3,3,0,0,0,0,0,0,2,2,0,1,0,2,1,1,1,0,1,1,0,0,0,11,0
Nicolás Hernán Otamendi,0,2,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,2,1,0,0,2,3,0,0,0,2,0,1,0,0,0,14,0
Eduardo Antonio Salvio,0,1,2,0,0,0,0,0,2,2,1,0,0,0,0,0,1,1,1,1,2,2,5,1,1,0,1,2,0,0,0,0,8,0
Gabriel Iván Mercado,0,1,1,0,0,0,0,0,2,4,2,0,0,0,0,0,0,1,2,0,1,4,1,0,1,2,0,1,0,0,0,0,12,0
Nicolás Alejandro Tagliafico,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,3,2,0,0,4,3,0,0,0,1,0,1,0,0,0,13,0
Marcos Javier Acuña,0,1,2,0,0,0,0,1,4,3,2,0,0,1,0,0,1,1,1,2,3,5,1,0,0,0,0,1,0,0,0,0,7,0
Enzo Nicolás Pérez,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,8,3,0,0,0,0,0,0,0,0,0,16,0
Wilfredo Daniel Caballero,0,2,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,2,5,2,0,8,0,0,0,0,0,0,0,0,0,0,8,0
