id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Sergio Leonel Agüero del Castillo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lionel Andrés Messi Cuccittini,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maximiliano Eduardo Meza,0,3,2,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,0,0
Javier Alejandro Mascherano,1,2,2,2,0,1,1,0,2,0,1,0,0,0,0,0,1,0,1,1,0,2,0,0,2,0,0,0,0,2,0,0,0,0
Nicolás Hernán Otamendi,2,0,8,0,1,0,0,0,0,2,3,0,0,0,0,0,0,2,0,1,0,3,3,0,0,0,2,0,0,0,1,0,3,0
Eduardo Antonio Salvio,1,0,4,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Gabriel Iván Mercado,1,1,6,0,0,0,1,1,1,2,2,0,0,0,0,0,0,1,0,1,1,3,1,0,0,2,0,0,0,0,0,0,2,0
Nicolás Alejandro Tagliafico,0,1,10,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4,3,4,0,0,1,0,0,0,0,0,4,2,0
Marcos Javier Acuña,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,1,0,1,0
Enzo Nicolás Pérez,2,1,8,0,1,1,0,2,0,2,3,0,0,0,0,0,0,2,0,1,4,2,3,0,0,0,1,0,0,0,2,0,3,0
Wilfredo Daniel Caballero,1,2,0,1,0,1,0,1,4,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
