id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Dejan Lovren,0,3,1,1,0,0,3,2,2,3,3,0,0,0,0,1,0,1,2,1,0,2,2,0,1,1,2,0,2,0,0,0,1,0
Domagoj Vida,0,2,1,0,1,1,2,0,1,5,1,0,0,1,0,0,0,0,3,0,0,3,0,0,1,0,1,1,0,0,0,0,1,0
Ivan Strinić,0,3,2,1,1,1,0,5,1,1,4,0,0,0,0,1,1,2,3,0,2,3,0,1,0,1,0,2,1,0,0,0,2,0
Danijel Subašić,0,2,2,2,1,1,3,1,3,1,0,0,0,0,0,0,0,1,6,0,1,2,0,1,2,1,1,0,0,0,0,0,0,0
Marcelo Brozović,0,2,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,4,0,2,0,1,7,0,0,0,1,0,1,0,0,0,7,0
Ivan Rakitić,0,1,2,1,0,0,0,1,1,2,2,0,0,0,1,0,0,0,1,3,5,2,2,0,1,1,1,1,0,0,0,0,4,0
Šime Vrsaljko,0,1,1,0,0,1,0,0,2,4,1,0,0,0,0,0,0,2,0,2,1,5,1,0,1,1,0,0,0,0,0,0,3,0
Luka Modrić,0,2,1,1,1,1,2,1,0,0,3,0,0,0,0,0,0,2,0,3,4,3,2,0,1,1,1,0,0,0,0,0,5,0
Ante Rebić/Andrej Kramarić,0,0,2,2,0,2,0,0,3,4,0,0,0,0,1,0,0,0,0,3,2,5,0,0,0,1,0,0,0,0,0,0,3,0
Ivan Perišić/Mateo Kovačić,0,0,4,2,0,3,0,0,6,2,0,0,0,0,0,0,4,0,0,2,0,1,1,0,0,1,0,2,0,0,0,0,0,0
Mario Mandžukić/Vedran Ćorluka,0,2,2,0,1,1,0,1,5,1,4,0,0,1,0,0,1,0,2,1,2,3,0,1,1,0,1,2,0,0,0,0,1,0
