id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Timo Werner,1,2,2,0,0,2,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,2,1,0,0,0
İlkay Gündoğan,1,2,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,3,0,0,1,1,2,0,0,0,3,2,1,5,0
Jérôme Boateng,1,2,10,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,9,3,1,0,0,1,1,0,0,0,1,3,6,0
Joshua Kimmich,0,1,10,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1,0,4,0,2,5,0
Thomas Müller,1,1,6,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2,0,2,1,0,1,0,1,1,0,2,2,0,2,0
Manuel Neuer,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Toni Kroos,2,0,10,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,1,0,6,4,3,0
Antonio Rüdiger,1,0,8,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,1,0,0,0,0,1,5,0
Marco Reus,1,1,6,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,2,1,2,1,0
Julian Draxler/Mario Gómez García,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonas Hector/Julian Brandt,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
