id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Antonio Rüdiger,0.010416666666666666,0.005208333333333333,0.0,0.005208333333333333,0.0,0.005208333333333333,0.005208333333333333,0.0,0.015625,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.015625,0.0,0.0,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0
Julian Draxler,0.005208333333333333,0.010416666666666666,0.010416666666666666,0.0,0.005208333333333333,0.0,0.010416666666666666,0.005208333333333333,0.005208333333333333,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.020833333333333332,0.015625,0.005208333333333333,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0
Toni Kroos,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.015625,0.0,0.0,0.036458333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0
Jonas Hector,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.0,0.005208333333333333,0.005208333333333333,0.0,0.005208333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.005208333333333333,0.015625,0.0,0.0,0.005208333333333333,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0
Jérôme Boateng,0.015625,0.005208333333333333,0.0,0.015625,0.0,0.005208333333333333,0.015625,0.0,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.010416666666666666,0.0,0.010416666666666666,0.010416666666666666,0.005208333333333333,0.0,0.0,0.005208333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0
Joshua Kimmich,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.005208333333333333,0.0,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.020833333333333332,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0
Marco Reus,0.0,0.005208333333333333,0.0,0.0,0.005208333333333333,0.0,0.0,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.005208333333333333,0.020833333333333332,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0
Thomas Müller,0.0,0.010416666666666666,0.010416666666666666,0.0,0.005208333333333333,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Timo Werner,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.005208333333333333,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026041666666666668,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manuel Neuer,0.005208333333333333,0.005208333333333333,0.005208333333333333,0.0,0.005208333333333333,0.015625,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.0,0.005208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Rudy/İlkay Gündoğan,0.0,0.005208333333333333,0.0,0.0,0.010416666666666666,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
