id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Nemanja Matić,2,1,0,1,1,2,2,0,3,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
Nikola Milenković,1,1,1,0,1,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Milos Veljkovic,2,0,0,0,0,2,0,0,1,7,0,0,0,0,1,0,1,2,2,0,1,2,0,0,0,0,0,0,0,0,0,2,0
Sergej Milinković-Savić,1,1,1,0,0,1,1,1,2,2,0,0,0,0,0,0,1,0,1,3,2,2,0,0,1,1,0,0,0,0,0,2,0
Vladimir Stojković,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Kolarov,2,3,0,1,2,2,4,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Antonio Rukavina,2,1,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Dušan Tadić,1,2,2,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,2,1,0,0,0,0,0,0,0
Adem Ljajić/Andrija Živković,1,2,0,0,0,1,1,4,1,1,0,0,1,0,0,0,0,0,1,3,1,0,0,0,1,1,0,0,0,0,0,0,0
Filip Kostić/Nemanja Radonjić,1,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Mitrović/Luka Jović,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
