id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Toni Kroos,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,3,1,2,0,0,0,0,20,0
Marco Reus,0,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,1,4,3,0,6,0,1,1,0,0,0,1,0,0,0,6,0
Mats Hummels,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,0,1,0,0,0,0,22,0
Niklas Süle,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,14,0
Joshua Kimmich,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,3,0,0,0,0,0,24,0
Manuel Neuer,0,3,3,1,0,1,1,1,4,0,0,0,0,0,0,1,3,0,4,1,0,1,0,1,7,1,0,0,2,0,0,0,1,0
Mesut Özil,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,2,0,0,3,1,1,0,0,0,0,20,0
Timo Werner,0,2,2,0,1,0,1,2,2,1,0,0,0,0,0,0,0,2,0,1,0,3,0,1,1,1,3,0,0,0,0,0,10,0
Sami Khedira/Mario Gómez García,0,1,2,0,0,1,0,0,2,2,0,0,0,0,1,0,0,0,2,2,1,5,1,1,1,1,0,1,0,0,0,0,8,0
Leon Goretzka/Thomas Müller,0,1,2,0,0,1,1,0,1,2,1,0,0,0,0,0,1,0,0,2,1,6,0,1,1,0,0,1,0,0,0,0,8,0
Jonas Hector/Julian Brandt,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,0,2,1,0,1,2,0,0,0,0,0,20,0
