id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32
Romelu Lukaku Menama,0.0049504950495049506,0.01485148514851485,0.0049504950495049506,0.0,0.009900990099009901,0.0,0.009900990099009901,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Witsel,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0,0.0049504950495049506,0.009900990099009901,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.0,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0
Jan Vertonghen,0.01485148514851485,0.009900990099009901,0.0,0.009900990099009901,0.0,0.009900990099009901,0.019801980198019802,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.009900990099009901,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0
Vincent Kompany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01485148514851485,0.0
Toby Alderweireld,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.009900990099009901,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0
Thibaut Courtois,0.0049504950495049506,0.0,0.0,0.0,0.0,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kevin De Bruyne,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.01485148514851485,0.01485148514851485,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.024752475247524754,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.009900990099009901,0.0
Yannick Ferreira Carrasco,0.0,0.01485148514851485,0.0049504950495049506,0.0,0.024752475247524754,0.0,0.0,0.019801980198019802,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Meunier,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.009900990099009901,0.01485148514851485,0.0,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dries Mertens,0.0049504950495049506,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.019801980198019802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eden Hazard,0.009900990099009901,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0049504950495049506,0.0,0.0049504950495049506,0.0049504950495049506,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.01485148514851485,0.0049504950495049506,0.0049504950495049506,0.01485148514851485,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.0,0.0,0.0,0.0,0.0,0.0
