id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Romelu Lukaku Menama,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,6,0,0,0,2,2,2,3,0,0,0,0,11,0
Axel Witsel,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,0,2,1,1,1,4,1,2,0,0,0,0,11,0
Jan Vertonghen,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,1,1,1,4,3,1,1,1,2,0,1,0,0,0,8,0
Vincent Kompany,0,2,3,0,0,0,0,2,0,0,0,0,0,1,1,0,2,2,0,0,3,0,1,1,2,2,3,1,1,0,0,0,8,0
Toby Alderweireld,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,1,5,2,0,2,3,3,1,1,0,0,0,9,0
Thibaut Courtois,0,3,0,0,0,0,2,0,0,3,0,0,0,0,0,1,0,3,10,3,0,5,1,0,0,0,0,0,2,0,0,0,2,0
Kevin De Bruyne,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,2,0,0,0,0,20,0
Yannick Ferreira Carrasco,0,2,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,2,1,1,0,1,3,2,2,2,1,0,0,0,8,0
Thomas Meunier,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,1,1,1,4,3,1,1,1,2,1,0,0,0,0,9,0
Dries Mertens,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,7,1,0,0,0,0,0,0,0,0,0,16,0
Eden Hazard,0,2,3,0,0,1,0,0,2,0,1,0,0,0,1,0,1,1,1,2,0,0,0,1,5,2,2,2,1,0,0,0,6,0
