id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Nélson Cabral Semedo,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,0,0,2,0
Yerry Fernando Mina González,0,3,4,1,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0
Thomas Vermaelen,1,1,4,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Ousmane Dembélé,1,0,6,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,2,0
José Paulo Bezzera Maciel Júnior,2,2,4,1,1,0,0,2,1,0,3,0,0,2,0,0,0,0,2,0,3,2,0,0,0,1,0,0,0,0,0,0,1,0
Francisco Alcácer García,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
Marc-André ter Stegen,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lucas Digne,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Denis Suárez Fernández,3,1,2,0,2,0,2,2,2,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Philippe Coutinho Correia/Lionel Andrés Messi Cuccittini,0,2,2,2,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
André Filipe Tavares Gomes/Sergi Roberto Carnicer,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
