id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Patrick Vieira,0,3,2,1,0,0,1,0,1,0,4,0,0,1,0,1,0,1,2,0,4,2,0,5,0,0,2,0,2,0,0,0,6,0
Ashley Cole,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,7,1,0,0,0,0,0,0,0,0,0,11,0
Fredrik Ljungberg,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,3,1,0,4,0,1,1,2,3,0,0,0,0,14,0
Kolo Habib Touré,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,7,1,0,0,0,0,0,0,0,0,0,10,0
Martin Keown,0,5,1,0,2,0,0,1,1,0,4,0,0,1,0,3,0,2,3,0,0,2,1,2,1,0,1,1,5,0,0,0,1,0
Gilberto Aparecido da Silva,0,1,3,2,0,1,0,0,0,0,1,0,0,0,1,0,2,0,0,1,4,0,2,3,0,1,0,3,0,0,0,0,8,0
Laureano Bisan-Etame Mayer,0,3,2,0,2,0,0,1,4,0,0,0,0,0,0,0,1,3,4,0,1,2,0,2,3,1,2,2,1,0,0,0,1,0
Jens Lehmann,0,3,2,4,1,1,1,0,2,0,0,0,0,2,0,1,1,0,10,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
Thierry Henry,0,1,3,0,0,0,0,1,2,0,0,0,0,1,3,0,0,1,1,0,5,3,2,1,0,1,0,4,0,0,0,0,6,0
Ray Parlour,0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,3,9,0,0,0,1,0,4,0,0,0,0,6,0
Dennis Bergkamp/Eduardo César Daude Gaspar,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,2,0,1,0,0,0,0,15,0
