id,role_0,role_1,role_2,role_3,role_4,role_5,role_6,role_7,role_8,role_9,role_10,role_11,role_12,role_13,role_14,role_15,role_16,role_17,role_18,role_19,role_20,role_21,role_22,role_23,role_24,role_25,role_26,role_27,role_28,role_29,role_30,role_31,role_32,role_33
Estelle Johnson,0,5,1,0,2,0,0,0,0,0,3,0,0,0,0,7,0,2,0,2,0,1,0,1,4,0,1,1,1,0,0,0,3,0
Caprice Dydasco,0,1,2,0,0,0,1,0,2,5,0,0,0,1,0,0,0,1,1,2,2,1,0,0,1,1,2,3,0,0,0,0,7,0
Andi Sullivan,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,12,0
Ashley Hatch,0,2,3,1,0,2,1,0,3,2,0,0,0,3,3,0,0,0,2,0,0,3,0,0,3,1,0,1,1,0,0,0,1,0
Francisca Ordega,0,3,2,1,0,1,1,0,1,1,1,0,0,4,1,1,0,0,1,2,0,1,0,1,1,1,2,0,2,0,0,0,3,0
Taylor Smith,0,3,3,0,0,0,0,3,0,0,2,0,0,4,1,3,1,0,0,0,3,0,1,0,2,2,3,2,0,0,0,0,4,0
Aubrey Bledsoe,0,4,0,0,0,0,3,0,0,1,0,0,0,0,0,2,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0
Whitney Church,0,0,3,2,0,3,0,0,9,3,0,0,0,0,1,0,2,0,0,3,0,3,0,0,0,2,0,1,0,0,0,0,1,0
Joanna Lohman/Havana Solaun,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,0,4,0,0,0,0,11,0
Mallory Eubanks/Meggie Dougherty Howard,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,1,2,1,1,1,5,2,1,0,0,0,7,0
Mallory Pugh/Tori Huster,0,1,5,0,0,0,0,3,0,0,2,0,0,1,7,0,0,1,0,0,2,0,0,0,1,2,0,4,0,0,0,0,5,0
